trial_id,study_label,status,candidate_studyIDs,notes
abd_ellatif_2024,Abd Ellatif 2024,extracted,Abd Ellatif_dexmedetomidine_2024,selected Abd Ellatif_dexmedetomidine_2024
chen_2021,Chen 2021,extracted,Chen_dexmedetomidine_2021,selected Chen_dexmedetomidine_2021
choovongkom_ol_2024,Choovongkom ol 2024,extracted,Choovongkomol_dexmedetomidine_2024,selected Choovongkomol_dexmedetomidine_2024
deiner_2017,Deiner 2017,extracted,Deiner_dexmedetomidine_2017,selected Deiner_dexmedetomidine_2017
gao_2021,Gao 2021,extracted,Gao_dexmedetomidine_2021,selected Gao_dexmedetomidine_2021
ghazaly_2023,Ghazaly 2023,extracted,manual_ghazaly_2023,selected manual_ghazaly_2023; manual counts override applied
guo_2015,Guo 2015,extracted,Guo_dexmedetomidine_2015,selected Guo_dexmedetomidine_2015
he_2021,He 2021,extracted,He_dexmedetomidine_2021,selected He_dexmedetomidine_2021
he_2023,He 2023,extracted,He_dexmedetomidine_2023,selected He_dexmedetomidine_2023
he_2024,He 2024,extracted,He_alprazolam_2024,selected He_alprazolam_2024
hong_2021,Hong 2021,extracted,Hong_dexmedetomidine_2021,selected Hong_dexmedetomidine_2021
hu_2021,Hu 2021,extracted,Hu_dexmedetomidine_2021,selected Hu_dexmedetomidine_2021
hu_2022,Hu 2022,extracted,Hu_dexmedetomidine_2022,selected Hu_dexmedetomidine_2022
huet_2024,Huet 2024,extracted,Huet_dexmedetomidine_2024,selected Huet_dexmedetomidine_2024
kim_2019,Kim 2019,extracted,Kim_dexmedetomidine_2019,selected Kim_dexmedetomidine_2019
lai_2023,Lai 2023,extracted,Lai_dexmedetomidine_2023,selected Lai_dexmedetomidine_2023
lee_2018,Lee 2018,extracted,manual_lee_2018,selected manual_lee_2018; manual counts override applied
lee_2020,Lee 2020,extracted,Lee_dexmedetomidine_2020,selected Lee_dexmedetomidine_2020
li_2017,Li 2017,extracted,Li_dexmedetomidine_2017,selected Li_dexmedetomidine_2017
li_2020,Li 2020,extracted,Li_dexmedetomidine_2020,selected Li_dexmedetomidine_2020
li_2023,Li 2023,extracted,Li_dexmedetomidine_2023;Li_lidocaine_2023,selected Li_dexmedetomidine_2023
likhvantsev_2021,Likhvantsev 2021,extracted,Likhvantsev_dexmedetomidine_2021,selected Likhvantsev_dexmedetomidine_2021
liu_2016,Liu 2016,extracted,Liu_dexmedetomidine_2016a,selected Liu_dexmedetomidine_2016a; manual counts override applied
liu_2021,Liu 2021,extracted,Liu_dexmedetomidine_2021,selected Liu_dexmedetomidine_2021
liu_2023,Liu 2023,extracted,Liu_dexmedetomidine_2023,selected Liu_dexmedetomidine_2023
long_2024,Long 2024,extracted,Long_dexmedetomidine_2024,selected Long_dexmedetomidine_2024
lu_2021,Lu 2021,extracted,Lu_dexmedetomidine_2021,selected Lu_dexmedetomidine_2021
lv_2022,Lv 2022,extracted,Lv_dexmedetomidine_2022,selected Lv_dexmedetomidine_2022
ma_2013,Ma 2013,extracted,manual_ma_2013,selected manual_ma_2013; manual counts override applied
massoumi_2019,Massoumi 2019,extracted,manual_massoumi_2019,selected manual_massoumi_2019; manual counts override applied
qu_2023,Qu 2023,extracted,Qu_dexmedetomidine_2023,selected Qu_dexmedetomidine_2023
soh_2020,Soh 2020,extracted,Soh_dexmedetomidine_2020,selected Soh_dexmedetomidine_2020
su_2016,Su 2016,extracted,Su_dexmedetomidine_2016,selected Su_dexmedetomidine_2016
tang_2022,Tang 2022,extracted,Tang_dexmedetomidine_2022,selected Tang_dexmedetomidine_2022
turan_2020,Turan 2020,extracted,Turan_dexmedetomidine_2020,selected Turan_dexmedetomidine_2020
van_norden_2021,van Norden 2021,extracted,van Norden_dexmedetomidine_2021,selected van Norden_dexmedetomidine_2021
wang_2023,Wang 2023,extracted,Wang_dexmedetomidine_2023,selected Wang_dexmedetomidine_2023
wu_2023,Wu 2023,extracted,Wu_dexmedetomidine_2023,selected Wu_dexmedetomidine_2023
xin_2021,Xin 2021,extracted,Xin_dexmedetomidine_2021,selected Xin_dexmedetomidine_2021
xing_2021,Xing 2021,extracted,Xing_dexmedetomidine_2021,selected Xing_dexmedetomidine_2021
yang_2015,Yang 2015,extracted,Yang_dexmedetomidine_2015,selected Yang_dexmedetomidine_2015
zhang_2020,Zhang 2020,extracted,Zhang_dexmedetomidine_2020,selected Zhang_dexmedetomidine_2020
zhang_2023,Zhang 2023,extracted,Zhang_dexmedetomidine_2023,selected Zhang_dexmedetomidine_2023
